Driver,TimerType,Instances,Duration,Intervals,FPS_Mean,FPS_StdDev,FPS_Min,FPS_Max,FPS_Median,FPS_P95,GC_Mean,GC_StdDev,GC_Min,GC_Max,GC_Median,GC_P95,CPU_Mean,CPU_StdDev,CPU_Min,CPU_Max,CPU_Median,CPU_P95
UPDATE,DELAY,1,2,10,1040.8,21.47,1004.4,1059.7,1049.55,1059.7,2.6,0,2.6,2.6,2.6,2.6,0.8,0,0.8,0.8,0.8,0.8
UPDATE,DELAY,10,2,10,1074.18,505.52,363.6,1790.8,1071.15,1790.8,2.6,0,2.6,2.6,2.6,2.6,0.75,0.09,0.6,0.8,0.8,0.8
UPDATE,DELAY,100,2,10,1736.88,20.98,1705.3,1764.3,1738.95,1764.3,2.7,0,2.7,2.7,2.7,2.7,0.8,0,0.8,0.8,0.8,0.8
UPDATE,DELAY,500,2,10,1059.7,2.79,1055.3,1063,1060.25,1063,2.7,0,2.7,2.7,2.7,2.7,0.78,0.04,0.7,0.8,0.8,0.8
UPDATE,DELAY,1000,2,10,1766.48,52.3,1688.6,1816.5,1780.4,1816.5,2.8,0,2.8,2.8,2.8,2.8,0.8,0,0.8,0.8,0.8,0.8
UPDATE,INTERVAL,1,2,10,2572.8,1448.99,1697.2,5081.4,1756.3,5081.4,2.7,0,2.7,2.7,2.7,2.7,0.78,0.04,0.7,0.8,0.8,0.8
UPDATE,INTERVAL,10,2,10,876.08,281.35,388.9,1048.4,1033.5,1048.4,2.7,0,2.7,2.7,2.7,2.7,0.78,0.04,0.7,0.8,0.8,0.8
UPDATE,INTERVAL,100,2,10,1747.12,16.51,1731,1773.1,1742.2,1773.1,2.7,0,2.7,2.7,2.7,2.7,0.8,0,0.8,0.8,0.8,0.8
UPDATE,INTERVAL,500,2,10,1812.85,494.29,1098.9,2472.8,1839.85,2472.8,2.7,0,2.7,2.7,2.7,2.7,0.78,0.04,0.7,0.8,0.8,0.8
UPDATE,INTERVAL,1000,2,10,1719.15,48.68,1666.1,1774.6,1717.95,1774.6,2.7,0,2.7,2.7,2.7,2.7,0.78,0.04,0.7,0.8,0.8,0.8
UPDATE,TIMER,1,2,10,1735.1,49.06,1671.4,1808.7,1730.15,1808.7,2.7,0,2.7,2.7,2.7,2.7,0.83,0.04,0.8,0.9,0.8,0.9
UPDATE,TIMER,10,2,10,1303.07,282.11,1009.4,1671.7,1265.6,1671.7,2.7,0,2.7,2.7,2.7,2.7,0.83,0.04,0.8,0.9,0.8,0.9
UPDATE,TIMER,100,2,10,877.6,296.46,364.8,1072.7,1036.45,1072.7,2.7,0,2.7,2.7,2.7,2.7,0.75,0.09,0.6,0.8,0.8,0.8
UPDATE,TIMER,500,2,10,1709.12,27.32,1673.9,1748.9,1706.85,1748.9,2.8,0,2.8,2.8,2.8,2.8,0.83,0.04,0.8,0.9,0.8,0.9
UPDATE,TIMER,1000,2,10,1405.4,397.17,1027.3,2028.8,1282.75,2028.8,2.9,0,2.9,2.9,2.9,2.9,0.7,0,0.7,0.7,0.7,0.7
UPDATE,COUNTDOWN,1,2,10,1081.15,40.81,1039.4,1148.4,1068.4,1148.4,2.7,0,2.7,2.7,2.7,2.7,0.8,0,0.8,0.8,0.8,0.8
UPDATE,COUNTDOWN,10,2,10,1730.98,78.3,1645.5,1846.4,1716,1846.4,2.7,0,2.7,2.7,2.7,2.7,0.82,0.11,0.7,1,0.8,1
UPDATE,COUNTDOWN,100,2,10,1725.17,50.46,1656.7,1799.2,1722.4,1799.2,2.7,0,2.7,2.7,2.7,2.7,0.7,0.07,0.6,0.8,0.7,0.8
UPDATE,COUNTDOWN,500,2,10,1030.82,25.65,1003.6,1073,1023.35,1073,2.8,0,2.8,2.8,2.8,2.8,0.75,0.09,0.6,0.8,0.8,0.8
UPDATE,COUNTDOWN,1000,2,10,1389.43,566.83,424.8,1868.4,1632.25,1868.4,2.9,0,2.9,2.9,2.9,2.9,0.8,0,0.8,0.8,0.8,0.8
