Driver,TimerType,Instances,Duration,Intervals,FPS_Mean,FPS_StdDev,FPS_Min,FPS_Max,FPS_Median,FPS_P95,GC_Mean,GC_StdDev,GC_Min,GC_Max,GC_Median,GC_P95,CPU_Mean,CPU_StdDev,CPU_Min,CPU_Max,CPU_Median,CPU_P95
RX,DELAY,1,2,10,1568.25,298.51,1052.6,1758.1,1731.15,1758.1,2.2,0,2.2,2.2,2.2,2.2,0.78,0.04,0.7,0.8,0.8,0.8
RX,DELAY,10,2,10,1753.05,71.2,1686.1,1866.7,1729.7,1866.7,2.2,0,2.2,2.2,2.2,2.2,0.73,0.08,0.6,0.8,0.75,0.8
RX,DELAY,100,2,10,1053.4,29.38,1021.4,1100.2,1046,1100.2,2.3,0,2.3,2.3,2.3,2.3,0.82,0.11,0.7,1,0.8,1
RX,DELAY,500,2,10,1371.35,559.88,408.1,1779.7,1648.8,1779.7,2.7,0,2.7,2.7,2.7,2.7,0.88,0.13,0.8,1.1,0.8,1.1
RX,DELAY,1000,2,10,1769.08,202.8,1562.3,2105.7,1704.15,2105.7,3.2,0,3.2,3.2,3.2,3.2,0.8,0,0.8,0.8,0.8,0.8
RX,INTERVAL,1,2,10,1035.15,16.37,1025.6,1063.5,1025.75,1063.5,2.3,0,2.3,2.3,2.3,2.3,0.73,0.08,0.6,0.8,0.75,0.8
RX,INTERVAL,10,2,10,1660.95,27.47,1629.2,1704.5,1655.05,1704.5,2.3,0,2.3,2.3,2.3,2.3,0.73,0.04,0.7,0.8,0.7,0.8
RX,INTERVAL,100,2,10,1637.35,179.37,1330.7,1764.3,1727.2,1764.3,2.5,0,2.5,2.5,2.5,2.5,0.83,0.04,0.8,0.9,0.8,0.9
RX,INTERVAL,500,2,10,1533.95,523.87,1011.1,2167.3,1478.7,2167.3,3.4,0,3.4,3.4,3.4,3.4,0.8,0,0.8,0.8,0.8,0.8
RX,INTERVAL,1000,2,10,1339.27,511.66,1008.8,2224.7,1061.8,2224.7,4.6,0,4.6,4.6,4.6,4.6,0.75,0.05,0.7,0.8,0.75,0.8
RX,TIMER,1,2,10,1760.85,95.09,1662.5,1917.9,1731.5,1917.9,2.3,0,2.3,2.3,2.3,2.3,0.9,0.17,0.8,1.2,0.8,1.2
RX,TIMER,10,2,10,1627.88,110.58,1449.1,1752.2,1655.1,1752.2,2.3,0,2.3,2.3,2.3,2.3,0.8,0,0.8,0.8,0.8,0.8
RX,TIMER,100,2,10,1027.15,476.67,363.3,1711.2,1017.05,1711.2,2.4,0,2.4,2.4,2.4,2.4,0.83,0.04,0.8,0.9,0.8,0.9
RX,TIMER,500,2,10,1673.42,38.63,1607.7,1705.9,1690.05,1705.9,2.8,0,2.8,2.8,2.8,2.8,0.8,0,0.8,0.8,0.8,0.8
RX,TIMER,1000,2,10,1120.15,196.93,996.7,1460.7,1011.6,1460.7,3.4,0,3.4,3.4,3.4,3.4,0.92,0.16,0.8,1.2,0.85,1.2
RX,COUNTDOWN,1,2,10,726.28,333.27,372.3,1062.9,734.95,1062.9,2.3,0,2.3,2.3,2.3,2.3,0.7,0.12,0.5,0.8,0.75,0.8
