Driver,TimerType,Instances,Duration,Intervals,FPS_Mean,FPS_StdDev,FPS_Min,FPS_Max,FPS_Median,FPS_P95,GC_Mean,GC_StdDev,GC_Min,GC_Max,GC_Median,GC_P95,CPU_Mean,CPU_StdDev,CPU_Min,CPU_Max,CPU_Median,CPU_P95
RX,DELAY,1,2,10,1060.35,24.18,1039.4,1101.3,1050.35,1101.3,2.2,0,2.2,2.2,2.2,2.2,0.67,0.04,0.6,0.7,0.7,0.7
RX,DELAY,10,2,10,1288.4,166.48,1040.8,1510.1,1301.35,1510.1,2.2,0,2.2,2.2,2.2,2.2,1.32,0.33,1,1.7,1.3,1.7
RX,DELAY,100,2,10,1495.07,10.19,1485.7,1510.1,1492.25,1510.1,2.3,0,2.3,2.3,2.3,2.3,0.65,0.05,0.6,0.7,0.65,0.7
RX,DELAY,500,2,10,860.37,659.84,198.6,1526.2,858.35,1526.2,2.7,0,2.7,2.7,2.7,2.7,0.93,0.04,0.9,1,0.9,1
RX,DELAY,1000,2,10,1045.25,34.43,991,1075.8,1057.1,1075.8,3.2,0,3.2,3.2,3.2,3.2,1.05,0.05,1,1.1,1.05,1.1
RX,INTERVAL,1,2,10,1517.95,453.59,1029.5,2245.2,1398.55,2245.2,2.3,0,2.3,2.3,2.3,2.3,2.47,0.62,1.4,2.9,2.8,2.9
RX,INTERVAL,10,2,10,1140.05,546.7,200,1511.7,1424.25,1511.7,2.3,0,2.3,2.3,2.3,2.3,0.77,0.34,0.3,1.1,0.85,1.1
RX,INTERVAL,100,2,10,1177.38,269.78,1007.4,1644.2,1028.95,1644.2,2.5,0,2.5,2.5,2.5,2.5,1.02,0.25,0.7,1.4,1,1.4
RX,INTERVAL,500,2,10,1062.9,56.21,1013.7,1157.9,1040,1157.9,3.35,0.05,3.3,3.4,3.35,3.4,0.88,0.23,0.6,1.1,0.9,1.1
RX,INTERVAL,1000,2,10,1185.4,568.12,201.4,1518.1,1511.05,1518.1,4.6,0,4.6,4.6,4.6,4.6,0.85,0.18,0.6,1.1,0.85,1.1
RX,TIMER,1,2,10,1025.12,44.02,962.1,1071.2,1033.6,1071.2,2.3,0,2.3,2.3,2.3,2.3,2.45,1.53,1,5,1.9,5
RX,TIMER,10,2,10,1568.95,291.54,1314.4,2043.3,1459.05,2043.3,2.3,0,2.3,2.3,2.3,2.3,0.62,0.04,0.6,0.7,0.6,0.7
RX,TIMER,100,2,10,1471,306.74,1053.4,1911.3,1459.65,1911.3,2.4,0,2.4,2.4,2.4,2.4,0.9,0.12,0.8,1.1,0.85,1.1
RX,TIMER,500,2,10,1439.8,134.79,1210.9,1546.8,1500.75,1546.8,2.8,0,2.8,2.8,2.8,2.8,3.38,1.58,1.8,5,3.35,5
RX,TIMER,1000,2,10,1489.45,63.82,1428.6,1592.1,1468.55,1592.1,3.3,0,3.3,3.3,3.3,3.3,1.12,0.04,1.1,1.2,1.1,1.2
RX,COUNTDOWN,1,2,10,829,356.01,214.3,1059.4,1021.15,1059.4,2.3,0,2.3,2.3,2.3,2.3,0.67,0.04,0.6,0.7,0.7,0.7
RX,COUNTDOWN,10,2,10,1027.7,33.97,992.6,1072.6,1022.8,1072.6,2.3,0,2.3,2.3,2.3,2.3,1.03,0.16,0.9,1.3,0.95,1.3
RX,COUNTDOWN,100,2,10,2818.78,1662.09,1050,4842.7,2691.2,4842.7,2.4,0,2.4,2.4,2.4,2.4,1.13,0.58,0.7,2.1,0.85,2.1
RX,COUNTDOWN,500,2,10,1457.4,85.25,1317.2,1547.7,1482.35,1547.7,2.8,0,2.8,2.8,2.8,2.8,1.03,0.04,1,1.1,1,1.1
RX,COUNTDOWN,1000,2,10,846.8,366.85,211.9,1078.5,1048.4,1078.5,3.35,0.05,3.3,3.4,3.35,3.4,1.1,0,1.1,1.1,1.1,1.1
COROUTINE,DELAY,1,2,10,1251.25,230.71,1002.9,1572.1,1215,1572.1,2.3,0,2.3,2.3,2.3,2.3,0.67,0.04,0.6,0.7,0.7,0.7
COROUTINE,DELAY,10,2,10,1498.73,41.57,1433.9,1549.4,1505.8,1549.4,2.3,0,2.3,2.3,2.3,2.3,1,0,1,1,1,1
COROUTINE,DELAY,100,2,10,1140.42,157.45,1035.7,1412,1057,1412,2.35,0.05,2.3,2.4,2.35,2.4,1,0,1,1,1,1
COROUTINE,DELAY,500,2,10,961.82,172.27,664.7,1080,1051.3,1080,2.4,0,2.4,2.4,2.4,2.4,1.1,0.12,1,1.3,1.05,1.3
COROUTINE,DELAY,1000,2,10,1048.55,14.91,1031.2,1069.5,1046.75,1069.5,2.6,0,2.6,2.6,2.6,2.6,1.23,0.45,0.9,2,1,2
COROUTINE,INTERVAL,1,2,10,1047.93,3.85,1043.6,1052.9,1047.6,1052.9,2.3,0,2.3,2.3,2.3,2.3,0.98,0.04,0.9,1,1,1
COROUTINE,INTERVAL,10,2,10,1054.05,13.86,1034.2,1068.7,1056.65,1068.7,2.3,0,2.3,2.3,2.3,2.3,1,0.07,0.9,1.1,1,1.1
COROUTINE,INTERVAL,100,2,10,1062.2,18.92,1044.3,1089.2,1057.65,1089.2,2.4,0,2.4,2.4,2.4,2.4,1.05,0.05,1,1.1,1.05,1.1
COROUTINE,INTERVAL,500,2,10,1434.53,103.06,1320,1601.5,1408.3,1601.5,2.5,0,2.5,2.5,2.5,2.5,1,0.07,0.9,1.1,1,1.1
COROUTINE,INTERVAL,1000,2,10,1515.05,39.08,1464.8,1560.1,1517.65,1560.1,2.63,0.04,2.6,2.7,2.6,2.7,0.95,0.05,0.9,1,0.95,1
COROUTINE,TIMER,1,2,10,1044.18,46.72,968.1,1094.9,1056.85,1094.9,2.3,0,2.3,2.3,2.3,2.3,1,0.07,0.9,1.1,1,1.1
COROUTINE,TIMER,10,2,10,1063.07,17.47,1045.4,1092.1,1057.4,1092.1,2.3,0,2.3,2.3,2.3,2.3,0.67,0.04,0.6,0.7,0.7,0.7
COROUTINE,TIMER,100,2,10,1149.8,197.85,943.5,1474.1,1090.8,1474.1,2.3,0,2.3,2.3,2.3,2.3,0.88,0.04,0.8,0.9,0.9,0.9
COROUTINE,TIMER,500,2,10,1656.03,280.5,1349.3,2088.1,1593.35,2088.1,2.5,0,2.5,2.5,2.5,2.5,1,0,1,1,1,1
COROUTINE,TIMER,1000,2,10,1539.82,116.85,1430.2,1717.6,1505.75,1717.6,2.6,0,2.6,2.6,2.6,2.6,1,0,1,1,1,1
COROUTINE,COUNTDOWN,1,2,10,828.47,361.72,204.3,1067.1,1021.25,1067.1,2.3,0,2.3,2.3,2.3,2.3,0.95,0.09,0.9,1.1,0.9,1.1
COROUTINE,COUNTDOWN,10,2,10,1542.6,535.51,1043.8,2367.4,1379.6,2367.4,2.3,0,2.3,2.3,2.3,2.3,0.67,0.04,0.6,0.7,0.7,0.7
COROUTINE,COUNTDOWN,100,2,10,1501.15,25.21,1460.1,1528.8,1507.85,1528.8,2.4,0,2.4,2.4,2.4,2.4,1.08,0.04,1,1.1,1.1,1.1
