Driver,TimerType,Instances,Duration,Intervals,FPS_Mean,FPS_StdDev,FPS_Min,FPS_Max,FPS_Median,FPS_P95,GC_Mean,GC_StdDev,GC_Min,GC_Max,GC_Median,GC_P95,CPU_Mean,CPU_StdDev,CPU_Min,CPU_Max,CPU_Median,CPU_P95
COROUTINE,COUNTDOWN,500,2,10,595.9,387.01,208.6,1007.6,583.7,1007.6,2.5,0,2.5,2.5,2.5,2.5,1.02,0.13,0.9,1.2,1,1.2
COROUTINE,COUNTDOWN,1000,2,10,1442.15,449.77,1059.3,2172.5,1268.4,2172.5,2.6,0,2.6,2.6,2.6,2.6,1.05,0.05,1,1.1,1.05,1.1
UPDATE,DELAY,1,2,10,829.85,366.6,195.7,1070.6,1026.55,1070.6,2.3,0,2.3,2.3,2.3,2.3,0.67,0.04,0.6,0.7,0.7,0.7
UPDATE,DELAY,10,2,10,1039.2,24.79,1000.9,1061.8,1047.05,1061.8,2.3,0,2.3,2.3,2.3,2.3,1.08,0.04,1,1.1,1.1,1.1
UPDATE,DELAY,100,2,10,1052.93,19.35,1034.2,1085.3,1046.1,1085.3,2.3,0,2.3,2.3,2.3,2.3,0.98,0.04,0.9,1,1,1
UPDATE,DELAY,500,2,10,1022.65,19.16,993.2,1044.9,1026.25,1044.9,2.4,0,2.4,2.4,2.4,2.4,1.1,0.23,0.9,1.5,1,1.5
UPDATE,DELAY,1000,2,10,1475.12,30.19,1433.9,1510.4,1478.1,1510.4,2.4,0,2.4,2.4,2.4,2.4,2.45,0.35,2.1,2.8,2.45,2.8
UPDATE,INTERVAL,1,2,10,1440.25,101.32,1271.6,1531.9,1478.75,1531.9,2.4,0,2.4,2.4,2.4,2.4,0.65,0.05,0.6,0.7,0.65,0.7
UPDATE,INTERVAL,10,2,10,1180.42,568.09,198.1,1560.6,1481.5,1560.6,2.4,0,2.4,2.4,2.4,2.4,0.73,0.08,0.6,0.8,0.75,0.8
UPDATE,INTERVAL,100,2,10,1494.67,27.14,1461.1,1530.9,1493.35,1530.9,2.4,0,2.4,2.4,2.4,2.4,0.88,0.04,0.8,0.9,0.9,0.9
UPDATE,INTERVAL,500,2,10,1039.78,516.31,198,1468,1246.55,1468,2.4,0,2.4,2.4,2.4,2.4,1.32,0.33,1,1.7,1.3,1.7
UPDATE,INTERVAL,1000,2,10,919.72,443.14,199.3,1407.3,1036.15,1407.3,2.4,0,2.4,2.4,2.4,2.4,2.55,0.35,2.2,2.9,2.55,2.9
UPDATE,TIMER,1,2,10,1074.53,528.79,207.5,1506.5,1292.05,1506.5,2.4,0,2.4,2.4,2.4,2.4,1.4,0.17,1.3,1.7,1.3,1.7
UPDATE,TIMER,10,2,10,741.5,345.15,200.2,1094.1,835.85,1094.1,2.4,0,2.4,2.4,2.4,2.4,0.6,0.07,0.5,0.7,0.6,0.7
UPDATE,TIMER,100,2,10,1899.58,937.49,1033.9,3483.1,1540.65,3483.1,2.4,0,2.4,2.4,2.4,2.4,0.9,0,0.9,0.9,0.9,0.9
UPDATE,TIMER,500,2,10,1459.43,59.76,1381.4,1545.4,1455.45,1545.4,2.5,0,2.5,2.5,2.5,2.5,1.05,0.05,1,1.1,1.05,1.1
UPDATE,TIMER,1000,2,10,1053.5,42.69,993.3,1113.3,1053.7,1113.3,2.6,0,2.6,2.6,2.6,2.6,1.45,0.57,0.9,2.2,1.35,2.2
UPDATE,COUNTDOWN,1,2,10,1055.95,4.89,1051.7,1064.1,1054,1064.1,2.4,0,2.4,2.4,2.4,2.4,0.7,0,0.7,0.7,0.7,0.7
UPDATE,COUNTDOWN,10,2,10,1052.35,54.02,999.2,1136,1037.1,1136,2.4,0,2.4,2.4,2.4,2.4,1,0,1,1,1,1
UPDATE,COUNTDOWN,100,2,10,1208.12,346.47,688.3,1593.9,1275.15,1593.9,2.4,0,2.4,2.4,2.4,2.4,1.05,0.05,1,1.1,1.05,1.1
UPDATE,COUNTDOWN,500,2,10,1545.85,26,1507.6,1575.3,1550.25,1575.3,2.5,0,2.5,2.5,2.5,2.5,3.02,1.19,2.1,5,2.5,5
UPDATE,COUNTDOWN,1000,2,10,1035.03,24.66,996.2,1059.4,1042.25,1059.4,2.6,0,2.6,2.6,2.6,2.6,0.65,0.05,0.6,0.7,0.65,0.7
