Driver,TimerType,Instances,Duration,Intervals,FPS_Mean,FPS_StdDev,FPS_Min,FPS_Max,FPS_Median,FPS_P95,GC_Mean,GC_StdDev,GC_Min,GC_Max,GC_Median,GC_P95,CPU_Mean,CPU_StdDev,CPU_Min,CPU_Max,CPU_Median,CPU_P95
RX,TIMER,100,2,10,1070.43,19.23,1046.9,1100.5,1067.15,1100.5,2.4,0,2.4,2.4,2.4,2.4,0.73,0.04,0.7,0.8,0.7,0.8
RX,TIMER,500,2,10,2749.13,1280.73,1479.3,4266.2,2625.5,4266.2,2.8,0,2.8,2.8,2.8,2.8,1.05,0.05,1,1.1,1.05,1.1
RX,TIMER,1000,2,10,1486.88,17.9,1473.4,1517.2,1478.45,1517.2,3.4,0,3.4,3.4,3.4,3.4,1.08,0.04,1,1.1,1.1,1.1
RX,COUNTDOWN,1,2,10,1495.2,42.35,1461.6,1567.6,1475.8,1567.6,2.3,0,2.3,2.3,2.3,2.3,0.85,0.15,0.6,1,0.9,1
RX,COUNTDOWN,10,2,10,839.83,370.69,198.3,1076.3,1042.35,1076.3,2.3,0,2.3,2.3,2.3,2.3,0.83,0.16,0.7,1.1,0.75,1.1
RX,COUNTDOWN,100,2,10,1457.83,518.16,982.5,2282.1,1283.35,2282.1,2.4,0,2.4,2.4,2.4,2.4,1.9,0.56,1.3,2.8,1.75,2.8
RX,COUNTDOWN,500,2,10,1055.95,522.69,202,1561.3,1230.25,1561.3,2.8,0,2.8,2.8,2.8,2.8,0.73,0.04,0.7,0.8,0.7,0.8
RX,COUNTDOWN,1000,2,10,1029.07,47.04,984.9,1106.2,1012.6,1106.2,3.4,0,3.4,3.4,3.4,3.4,1,0,1,1,1,1
COROUTINE,DELAY,1,2,10,1915.75,1485.33,1042.5,4488.3,1066.1,4488.3,2.4,0,2.4,2.4,2.4,2.4,1.4,0.41,1.1,2.1,1.2,2.1
COROUTINE,DELAY,10,2,10,1503.55,23.16,1466.5,1527.2,1510.25,1527.2,2.4,0,2.4,2.4,2.4,2.4,0.9,0.2,0.7,1.1,0.9,1.1
COROUTINE,DELAY,100,2,10,1050.07,45.97,1010.7,1125.7,1031.95,1125.7,2.4,0,2.4,2.4,2.4,2.4,1.42,0.31,0.9,1.7,1.55,1.7
COROUTINE,DELAY,500,2,10,1046.35,22.62,1014.6,1078.4,1046.2,1078.4,2.5,0,2.5,2.5,2.5,2.5,1.5,0.35,1.1,1.9,1.5,1.9
COROUTINE,DELAY,1000,2,10,1599.07,721.84,1035.9,2808.2,1276.1,2808.2,2.6,0,2.6,2.6,2.6,2.6,0.67,0.04,0.6,0.7,0.7,0.7
COROUTINE,INTERVAL,1,2,10,1038.62,562.52,122.3,1502.2,1265,1502.2,2.4,0,2.4,2.4,2.4,2.4,2.02,0.79,1,2.8,2.15,2.8
COROUTINE,INTERVAL,10,2,10,1048.05,30.43,999.2,1079,1057,1079,2.4,0,2.4,2.4,2.4,2.4,0.62,0.04,0.6,0.7,0.6,0.7
COROUTINE,INTERVAL,100,2,10,1061.95,29.8,1019.4,1097.3,1065.55,1097.3,2.4,0,2.4,2.4,2.4,2.4,1.35,0.23,1,1.6,1.4,1.6
COROUTINE,INTERVAL,500,2,10,1660.02,490.1,1203.7,2486.3,1475.05,2486.3,2.5,0,2.5,2.5,2.5,2.5,1.18,0.33,0.7,1.6,1.2,1.6
COROUTINE,INTERVAL,1000,2,10,1477.35,53.16,1392.8,1538.5,1489.05,1538.5,2.7,0,2.7,2.7,2.7,2.7,0.67,0.04,0.6,0.7,0.7,0.7
COROUTINE,TIMER,1,2,10,1068.42,30.28,1043.2,1118.1,1056.2,1118.1,2.4,0,2.4,2.4,2.4,2.4,0.67,0.04,0.6,0.7,0.7,0.7
COROUTINE,TIMER,10,2,10,1844.05,664.73,1262.2,2971.8,1571.1,2971.8,2.4,0,2.4,2.4,2.4,2.4,0.98,0.04,0.9,1,1,1
COROUTINE,TIMER,100,2,10,1486.42,34.92,1431,1517,1498.85,1517,2.4,0,2.4,2.4,2.4,2.4,1.95,0.77,0.7,2.8,2.15,2.8
COROUTINE,TIMER,500,2,10,954.2,471.06,200.2,1491.2,1062.7,1491.2,2.5,0,2.5,2.5,2.5,2.5,1.05,0.05,1,1.1,1.05,1.1
COROUTINE,TIMER,1000,2,10,1316.65,272.18,1038.9,1613.7,1307,1613.7,2.6,0,2.6,2.6,2.6,2.6,1.1,0,1.1,1.1,1.1,1.1
COROUTINE,COUNTDOWN,1,2,10,1505.7,48.2,1452.6,1584,1493.1,1584,2.4,0,2.4,2.4,2.4,2.4,1.33,0.53,0.7,2.1,1.25,2.1
COROUTINE,COUNTDOWN,10,2,10,1078.37,543.14,202.4,1571.1,1270,1571.1,2.4,0,2.4,2.4,2.4,2.4,0.7,0.07,0.6,0.8,0.7,0.8
COROUTINE,COUNTDOWN,100,2,10,616.35,412.43,198.4,1051.2,607.9,1051.2,2.4,0,2.4,2.4,2.4,2.4,1.32,0.04,1.3,1.4,1.3,1.4
COROUTINE,COUNTDOWN,500,2,10,1874.88,1242.4,937.5,4001.6,1280.2,4001.6,2.5,0,2.5,2.5,2.5,2.5,0.7,0,0.7,0.7,0.7,0.7
COROUTINE,COUNTDOWN,1000,2,10,1129.2,533.57,206,1467.4,1421.7,1467.4,2.6,0,2.6,2.6,2.6,2.6,1.1,0.07,1,1.2,1.1,1.2
UPDATE,DELAY,1,2,10,1587.68,800.04,1004.2,2954.2,1196.15,2954.2,2.4,0,2.4,2.4,2.4,2.4,0.85,0.09,0.7,0.9,0.9,0.9
UPDATE,DELAY,10,2,10,1940.23,789.26,1386.2,3302.5,1536.1,3302.5,2.4,0,2.4,2.4,2.4,2.4,1.03,0.08,0.9,1.1,1.05,1.1
UPDATE,DELAY,100,2,10,1044.77,8.21,1038,1058.8,1041.15,1058.8,2.4,0,2.4,2.4,2.4,2.4,1.35,0.21,1,1.5,1.45,1.5
UPDATE,DELAY,500,2,10,1496.2,13.26,1478.2,1514,1496.3,1514,2.4,0,2.4,2.4,2.4,2.4,1.25,0.32,0.7,1.5,1.4,1.5
UPDATE,DELAY,1000,2,10,1138.12,116.73,1011.8,1318.9,1110.9,1318.9,2.5,0,2.5,2.5,2.5,2.5,0.7,0,0.7,0.7,0.7,0.7
UPDATE,INTERVAL,1,2,10,1008.6,30.12,960.1,1040.7,1016.8,1040.7,2.4,0,2.4,2.4,2.4,2.4,0.7,0.07,0.6,0.8,0.7,0.8
UPDATE,INTERVAL,10,2,10,2681.52,1737.79,1497,5668.8,1780.15,5668.8,2.4,0,2.4,2.4,2.4,2.4,1.1,0.17,1,1.4,1,1.4
UPDATE,INTERVAL,100,2,10,1733.35,809.83,1067.7,3113.4,1376.15,3113.4,2.4,0,2.4,2.4,2.4,2.4,1.15,0.32,0.9,1.7,1,1.7
UPDATE,INTERVAL,500,2,10,1465.03,62.03,1365.4,1536.1,1479.3,1536.1,2.4,0,2.4,2.4,2.4,2.4,1.5,0.35,1.2,2.1,1.35,2.1
UPDATE,INTERVAL,1000,2,10,1034,2.79,1030.6,1038.3,1033.55,1038.3,2.4,0,2.4,2.4,2.4,2.4,0.7,0,0.7,0.7,0.7,0.7
UPDATE,TIMER,1,2,10,1351.67,199.89,1035.9,1554.7,1408.05,1554.7,2.4,0,2.4,2.4,2.4,2.4,0.93,0.04,0.9,1,0.9,1
UPDATE,TIMER,10,2,10,1804.6,594.39,1413.6,2832.8,1486,2832.8,2.4,0,2.4,2.4,2.4,2.4,1.2,0.27,0.9,1.6,1.15,1.6
UPDATE,TIMER,100,2,10,1271.2,231.19,1028.8,1517,1269.5,1517,2.4,0,2.4,2.4,2.4,2.4,2.58,0.38,2.2,3,2.55,3
UPDATE,TIMER,500,2,10,1040.43,56.83,985.4,1135.2,1020.55,1135.2,2.5,0,2.5,2.5,2.5,2.5,0.67,0.04,0.6,0.7,0.7,0.7
UPDATE,TIMER,1000,2,10,1802,656.41,1304.8,2930.8,1486.2,2930.8,2.7,0,2.7,2.7,2.7,2.7,0.7,0,0.7,0.7,0.7,0.7
UPDATE,COUNTDOWN,1,2,10,1478.5,31.55,1445.5,1515.2,1476.65,1515.2,2.4,0,2.4,2.4,2.4,2.4,0.88,0.04,0.8,0.9,0.9,0.9
UPDATE,COUNTDOWN,10,2,10,967.75,150.23,714.8,1102.1,1027.05,1102.1,2.4,0,2.4,2.4,2.4,2.4,1.35,0.36,0.9,1.9,1.3,1.9
UPDATE,COUNTDOWN,100,2,10,1580.58,450.93,1026.6,2283.1,1506.3,2283.1,2.4,0,2.4,2.4,2.4,2.4,2.12,1.63,0.7,4.9,1.45,4.9
UPDATE,COUNTDOWN,500,2,10,1489.67,34.75,1438.2,1534.9,1492.8,1534.9,2.5,0,2.5,2.5,2.5,2.5,0.7,0,0.7,0.7,0.7,0.7
UPDATE,COUNTDOWN,1000,2,10,1165.35,555.7,203.4,1514.5,1471.75,1514.5,2.7,0,2.7,2.7,2.7,2.7,0.67,0.04,0.6,0.7,0.7,0.7
