Driver,TimerType,Instances,Duration,Intervals,FPS_Mean,FPS_StdDev,FPS_Min,FPS_Max,FPS_Median,FPS_P95,GC_Mean,GC_StdDev,GC_Min,GC_Max,GC_Median,GC_P95,CPU_Mean,CPU_StdDev,CPU_Min,CPU_Max,CPU_Median,CPU_P95
RX,DELAY,1,2,10,1049.4,29.39,1003.9,1086,1053.85,1086,2.2,0,2.2,2.2,2.2,2.2,1.03,0.08,0.9,1.1,1.05,1.1
RX,DELAY,10,2,10,1345.95,169.03,1064.4,1498.1,1410.65,1498.1,2.2,0,2.2,2.2,2.2,2.2,1.08,0.04,1,1.1,1.1,1.1
RX,DELAY,100,2,10,927.2,443.68,201.1,1406.3,1050.7,1406.3,2.3,0,2.3,2.3,2.3,2.3,1.73,0.77,1,2.8,1.55,2.8
RX,DELAY,500,2,10,1506.75,596.69,1002.2,2488.8,1268,2488.8,2.7,0,2.7,2.7,2.7,2.7,0.7,0,0.7,0.7,0.7,0.7
RX,DELAY,1000,2,10,1505.55,46.13,1429.8,1554,1519.2,1554,3.2,0,3.2,3.2,3.2,3.2,1.07,0.08,1,1.2,1.05,1.2
RX,INTERVAL,1,2,10,1164.82,557.21,204.2,1559.1,1448,1559.1,2.3,0,2.3,2.3,2.3,2.3,1.05,0.05,1,1.1,1.05,1.1
RX,INTERVAL,10,2,10,924.3,447.24,204.7,1434.3,1029.1,1434.3,2.3,0,2.3,2.3,2.3,2.3,0.65,0.11,0.5,0.8,0.65,0.8
RX,INTERVAL,100,2,10,1049.85,18.86,1035.3,1081.4,1041.35,1081.4,2.5,0,2.5,2.5,2.5,2.5,1.2,0.22,0.9,1.5,1.2,1.5
RX,INTERVAL,500,2,10,1094.42,97.99,1028.1,1263.4,1043.1,1263.4,3.4,0,3.4,3.4,3.4,3.4,1.8,0.82,1,3,1.6,3
RX,INTERVAL,1000,2,10,1451.32,35.1,1410,1504.7,1445.3,1504.7,4.6,0,4.6,4.6,4.6,4.6,0.75,0.15,0.6,1,0.7,1
RX,TIMER,1,2,10,1491.85,30.98,1453.5,1539.2,1487.35,1539.2,2.3,0,2.3,2.3,2.3,2.3,0.95,0.05,0.9,1,0.95,1
RX,TIMER,10,2,10,843,371.41,202.6,1090.5,1039.45,1090.5,2.3,0,2.3,2.3,2.3,2.3,1.15,0.15,1,1.4,1.1,1.4
