Driver,TimerType,Instances,Duration,Intervals,FPS_Mean,FPS_StdDev,FPS_Min,FPS_Max,FPS_Median,FPS_P95,GC_Mean,GC_StdDev,GC_Min,GC_Max,GC_Median,GC_P95,CPU_Mean,CPU_StdDev,CPU_Min,CPU_Max,CPU_Median,CPU_P95
RX,DELAY,1,2,10,1049.87,46.79,981.8,1103.5,1057.1,1103.5,2.5,0,2.5,2.5,2.5,2.5,0.9,0,0.9,0.9,0.9,0.9
RX,DELAY,10,2,10,1148.52,131.35,1050.4,1370.6,1086.55,1370.6,2.5,0,2.5,2.5,2.5,2.5,0.9,0,0.9,0.9,0.9,0.9
RX,DELAY,100,2,10,1597.95,216.28,1426.7,1968.9,1498.1,1968.9,2.6,0,2.6,2.6,2.6,2.6,0.93,0.04,0.9,1,0.9,1
RX,DELAY,500,2,10,1506.03,38.71,1464.3,1567.4,1496.2,1567.4,3,0,3,3,3,3,0.9,0,0.9,0.9,0.9,0.9
RX,DELAY,1000,2,10,1481.73,46.56,1412.8,1531.2,1491.45,1531.2,3.5,0,3.5,3.5,3.5,3.5,0.93,0.04,0.9,1,0.9,1
RX,INTERVAL,1,2,10,954.28,444.25,254,1487.9,1037.6,1487.9,2.6,0,2.6,2.6,2.6,2.6,0.98,0.04,0.9,1,1,1
RX,INTERVAL,10,2,10,1092.48,505.56,277.1,1524.9,1283.95,1524.9,2.6,0,2.6,2.6,2.6,2.6,0.9,0,0.9,0.9,0.9,0.9
RX,INTERVAL,100,2,10,1503.05,8.03,1493.2,1515.6,1501.7,1515.6,2.8,0,2.8,2.8,2.8,2.8,0.93,0.04,0.9,1,0.9,1
RX,INTERVAL,500,2,10,1201.32,539,268.5,1545.1,1495.85,1545.1,3.6,0,3.6,3.6,3.6,3.6,0.9,0,0.9,0.9,0.9,0.9
RX,INTERVAL,1000,2,10,857.68,338.24,272.7,1079.9,1039.05,1079.9,4.8,0,4.8,4.8,4.8,4.8,1,0,1,1,1,1
RX,TIMER,1,2,10,1044.55,24.75,1005.8,1073.5,1049.45,1073.5,2.6,0,2.6,2.6,2.6,2.6,0.9,0,0.9,0.9,0.9,0.9
RX,TIMER,10,2,10,1150.7,188.9,1011.2,1476.2,1057.7,1476.2,2.6,0,2.6,2.6,2.6,2.6,0.98,0.04,0.9,1,1,1
RX,TIMER,100,2,10,1063,17.33,1035.5,1081.3,1067.6,1081.3,2.7,0,2.7,2.7,2.7,2.7,0.9,0,0.9,0.9,0.9,0.9
RX,TIMER,500,2,10,1009.45,35.96,957.3,1056.4,1012.05,1056.4,3.1,0,3.1,3.1,3.1,3.1,0.9,0,0.9,0.9,0.9,0.9
RX,TIMER,1000,2,10,1024.97,21.84,989.6,1048.7,1030.8,1048.7,3.6,0,3.6,3.6,3.6,3.6,0.98,0.04,0.9,1,1,1
RX,COUNTDOWN,1,2,10,1037.55,12.99,1018.3,1053.4,1039.25,1053.4,2.6,0,2.6,2.6,2.6,2.6,0.67,0.04,0.6,0.7,0.7,0.7
RX,COUNTDOWN,10,2,10,1035.08,17.74,1010.4,1059.7,1035.1,1059.7,2.6,0,2.6,2.6,2.6,2.6,0.98,0.04,0.9,1,1,1
RX,COUNTDOWN,100,2,10,1048.42,19.22,1026.7,1075,1046,1075,2.7,0,2.7,2.7,2.7,2.7,0.8,0.1,0.7,0.9,0.8,0.9
RX,COUNTDOWN,500,2,10,1120.62,151.64,1004,1380.8,1048.85,1380.8,3.1,0,3.1,3.1,3.1,3.1,0.9,0,0.9,0.9,0.9,0.9
RX,COUNTDOWN,1000,2,10,1059.12,21.83,1026.4,1087.7,1061.2,1087.7,3.6,0,3.6,3.6,3.6,3.6,0.95,0.05,0.9,1,0.95,1
