Driver,TimerType,Instances,Duration,Intervals,FPS_Mean,FPS_StdDev,FPS_Min,FPS_Max,FPS_Median,FPS_P95,GC_Mean,GC_StdDev,GC_Min,GC_Max,GC_Median,GC_P95,CPU_Mean,CPU_StdDev,CPU_Min,CPU_Max,CPU_Median,CPU_P95
COROUTINE,DELAY,1,2,10,1033.75,13.29,1019.5,1055.4,1030.05,1055.4,2.6,0,2.6,2.6,2.6,2.6,0.65,0.05,0.6,0.7,0.65,0.7
COROUTINE,DELAY,10,2,10,1059.72,13.71,1041.2,1077.2,1060.25,1077.2,2.6,0,2.6,2.6,2.6,2.6,0.98,0.04,0.9,1,1,1
COROUTINE,DELAY,100,2,10,1238.33,212.49,1004.7,1504.9,1221.85,1504.9,2.6,0,2.6,2.6,2.6,2.6,0.9,0,0.9,0.9,0.9,0.9
COROUTINE,DELAY,500,2,10,1076.88,38.23,1019.2,1113.3,1087.5,1113.3,2.7,0,2.7,2.7,2.7,2.7,0.9,0,0.9,0.9,0.9,0.9
COROUTINE,DELAY,1000,2,10,1060.1,43.69,987.7,1095.8,1078.45,1095.8,2.9,0,2.9,2.9,2.9,2.9,0.93,0.04,0.9,1,0.9,1
COROUTINE,INTERVAL,1,2,10,986.1,450.5,269.5,1508.5,1083.2,1508.5,2.6,0,2.6,2.6,2.6,2.6,0.98,0.04,0.9,1,1,1
COROUTINE,INTERVAL,10,2,10,980.23,457.59,268.7,1546.3,1052.95,1546.3,2.6,0,2.6,2.6,2.6,2.6,0.9,0,0.9,0.9,0.9,0.9
COROUTINE,INTERVAL,100,2,10,1030.88,31.03,993.3,1078.9,1025.65,1078.9,2.6,0,2.6,2.6,2.6,2.6,0.9,0,0.9,0.9,0.9,0.9
COROUTINE,INTERVAL,500,2,10,1498.25,509.07,1080.6,2329.9,1291.25,2329.9,2.8,0,2.8,2.8,2.8,2.8,0.9,0,0.9,0.9,0.9,0.9
COROUTINE,INTERVAL,1000,2,10,1124.7,107.09,1057.8,1309.9,1065.55,1309.9,2.92,0.04,2.9,3,2.9,3,0.93,0.04,0.9,1,0.9,1
COROUTINE,TIMER,1,2,10,1038.5,24.55,1002.7,1071.3,1040,1071.3,2.6,0,2.6,2.6,2.6,2.6,0.9,0,0.9,0.9,0.9,0.9
COROUTINE,TIMER,10,2,10,1040.7,43.16,976.8,1096.9,1044.55,1096.9,2.6,0,2.6,2.6,2.6,2.6,0.9,0,0.9,0.9,0.9,0.9
COROUTINE,TIMER,100,2,10,1058.02,29.31,1029.7,1097.6,1052.4,1097.6,2.6,0,2.6,2.6,2.6,2.6,0.93,0.04,0.9,1,0.9,1
COROUTINE,TIMER,500,2,10,1037.32,17.73,1023.8,1067.7,1028.9,1067.7,2.8,0,2.8,2.8,2.8,2.8,0.9,0,0.9,0.9,0.9,0.9
COROUTINE,TIMER,1000,2,10,1058.57,15.46,1040.9,1076.2,1058.6,1076.2,2.9,0,2.9,2.9,2.9,2.9,1.05,0.09,1,1.2,1,1.2
COROUTINE,COUNTDOWN,1,2,10,1519.53,441.99,1053.4,2238.1,1393.3,2238.1,2.6,0,2.6,2.6,2.6,2.6,0.9,0,0.9,0.9,0.9,0.9
COROUTINE,COUNTDOWN,10,2,10,1166.45,223.54,1005.8,1550.1,1054.95,1550.1,2.6,0,2.6,2.6,2.6,2.6,0.95,0.05,0.9,1,0.95,1
COROUTINE,COUNTDOWN,100,2,10,1181.1,249.42,1015.3,1612.4,1048.35,1612.4,2.6,0,2.6,2.6,2.6,2.6,0.95,0.05,0.9,1,0.95,1
COROUTINE,COUNTDOWN,500,2,10,1397.25,543.31,973.5,2306.8,1154.35,2306.8,2.8,0,2.8,2.8,2.8,2.8,0.9,0,0.9,0.9,0.9,0.9
COROUTINE,COUNTDOWN,1000,2,10,1114.5,166.02,1000.7,1400.6,1028.35,1400.6,2.9,0,2.9,2.9,2.9,2.9,1.05,0.09,1,1.2,1,1.2
UPDATE,DELAY,1,2,10,1022.2,28.56,977.5,1049.8,1030.75,1049.8,2.6,0,2.6,2.6,2.6,2.6,0.95,0.05,0.9,1,0.95,1
UPDATE,DELAY,10,2,10,1082.02,22.01,1055.7,1114.2,1079.1,1114.2,2.6,0,2.6,2.6,2.6,2.6,0.9,0,0.9,0.9,0.9,0.9
UPDATE,DELAY,100,2,10,1466,763.26,1012,2787.9,1032.05,2787.9,2.6,0,2.6,2.6,2.6,2.6,0.93,0.04,0.9,1,0.9,1
UPDATE,DELAY,500,2,10,999.57,52.57,932.5,1054.1,1005.85,1054.1,2.7,0,2.7,2.7,2.7,2.7,0.93,0.04,0.9,1,0.9,1
UPDATE,DELAY,1000,2,10,1120.77,119.17,1020.9,1322.7,1069.75,1322.7,2.7,0,2.7,2.7,2.7,2.7,0.95,0.05,0.9,1,0.95,1
UPDATE,INTERVAL,1,2,10,1035.6,34.8,975.5,1059.4,1053.75,1059.4,2.7,0,2.7,2.7,2.7,2.7,0.9,0,0.9,0.9,0.9,0.9
UPDATE,INTERVAL,10,2,10,1032.38,39.89,1007.1,1101.4,1010.5,1101.4,2.7,0,2.7,2.7,2.7,2.7,0.9,0,0.9,0.9,0.9,0.9
UPDATE,INTERVAL,100,2,10,1940.88,1330.24,1062.8,4233.6,1233.55,4233.6,2.7,0,2.7,2.7,2.7,2.7,0.9,0,0.9,0.9,0.9,0.9
UPDATE,INTERVAL,500,2,10,1038.9,23.21,1013,1070.6,1036,1070.6,2.7,0,2.7,2.7,2.7,2.7,0.93,0.04,0.9,1,0.9,1
UPDATE,INTERVAL,1000,2,10,1093.02,48.17,1039.8,1151.9,1090.2,1151.9,2.7,0,2.7,2.7,2.7,2.7,0.9,0,0.9,0.9,0.9,0.9
UPDATE,TIMER,1,2,10,1154.95,157.54,1038.1,1426.3,1077.7,1426.3,2.7,0,2.7,2.7,2.7,2.7,0.9,0,0.9,0.9,0.9,0.9
UPDATE,TIMER,10,2,10,1482.12,42.77,1409.6,1516.3,1501.3,1516.3,2.7,0,2.7,2.7,2.7,2.7,0.93,0.04,0.9,1,0.9,1
UPDATE,TIMER,100,2,10,1499.85,27.8,1460.1,1538.7,1500.3,1538.7,2.7,0,2.7,2.7,2.7,2.7,0.93,0.04,0.9,1,0.9,1
UPDATE,TIMER,500,2,10,954.05,426.7,264.5,1434.5,1058.6,1434.5,2.8,0,2.8,2.8,2.8,2.8,0.9,0,0.9,0.9,0.9,0.9
UPDATE,TIMER,1000,2,10,650.55,381.11,267.1,1034.9,650.1,1034.9,2.9,0,2.9,2.9,2.9,2.9,0.9,0,0.9,0.9,0.9,0.9
UPDATE,COUNTDOWN,1,2,10,1504.15,20.06,1483.5,1533.5,1499.8,1533.5,2.7,0,2.7,2.7,2.7,2.7,0.93,0.04,0.9,1,0.9,1
UPDATE,COUNTDOWN,10,2,10,1509.23,13.71,1488.1,1526.5,1511.15,1526.5,2.7,0,2.7,2.7,2.7,2.7,1.68,1.17,1,3.7,1,3.7
UPDATE,COUNTDOWN,100,2,10,1459.42,24.66,1425.5,1489.2,1461.5,1489.2,2.7,0,2.7,2.7,2.7,2.7,0.9,0,0.9,0.9,0.9,0.9
UPDATE,COUNTDOWN,500,2,10,842.92,338.3,258.1,1072,1020.8,1072,2.8,0,2.8,2.8,2.8,2.8,0.9,0,0.9,0.9,0.9,0.9
UPDATE,COUNTDOWN,1000,2,10,1049.48,29.63,999.7,1072.8,1062.7,1072.8,2.9,0,2.9,2.9,2.9,2.9,0.93,0.04,0.9,1,0.9,1
